mp_head_slot,head_const,head_id,file_const,file_id,rom_or_external_filename,loose_override_exists,require_feature,availability_note
0x00,HEAD_DARK_COMBAT,0x0004,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,0,base
0x01,HEAD_DARK_FROCK,0x000C,FILE_CHEADDARK_FROCK,0x01A4,Cheaddark_frockZ,False,MPFEATURE_CHR_CI,base
0x02,HEAD_DARKAQUA,0x002F,FILE_CHEADDARKAQUA,0x04AD,CheaddarkaquaZ,False,MPFEATURE_CHR_PELAGIC,base
0x03,HEAD_DARK_SNOW,0x003C,FILE_CHEADDARK_SNOW,0x055A,Cheaddark_snowZ,False,MPFEATURE_CHR_DARKSNOW,base
0x04,HEAD_ELVIS,0x0005,FILE_CHEADELVIS,0x019D,CheadelvisZ,False,MPFEATURE_CHR_ELVIS,base
0x05,HEAD_ELVIS_GOGS,0x003A,FILE_CHEADELVIS_GOGS,0x0553,Cheadelvis_gogsZ,False,MPFEATURE_CHR_ELVIS,base
0x06,HEAD_CARRINGTON,0x0007,FILE_CHEADCARRINGTON,0x019F,CheadcarringtonZ,False,0,base
0x07,HEAD_MRBLONDE,0x0008,FILE_CHEADMRBLONDE,0x01A0,CheadmrblondeZ,False,MPFEATURE_CHR_MRBLONDE,base
0x08,HEAD_CASSANDRA,0x000E,FILE_CHEADCASSANDRA,0x01A6,CheadcassandraZ,False,0,base
0x09,HEAD_TRENT,0x0009,FILE_CHEADTRENT,0x01A1,CheadtrentZ,False,MPFEATURE_CHR_TRENT,base
0x0A,HEAD_JONATHAN,0x0028,FILE_CHEADJONATHAN,0x033A,CheadjonathanZ,True,MPFEATURE_CHR_INFILTRATION,base
0x0B,HEAD_VD,0x003E,FILE_CHEAD_VD,0x0561,Chead_vdZ,False,0,base
0x0C,HEAD_PRESIDENT,0x003D,FILE_CHEADPRESIDENT,0x055B,CheadpresidentZ,False,MPFEATURE_CHR_CI,base
0x0D,HEAD_DDSHOCK,0x000A,FILE_CHEADDDSHOCK,0x01A2,CheadddshockZ,False,0,base
0x0E,HEAD_BIOTECH,0x001D,FILE_CHEADBIOTECH,0x01D0,CheadbiotechZ,False,MPFEATURE_CHR_BIOTECH,base
0x0F,HEAD_DDSNIPER,0x0030,FILE_CHEADDDSNIPER,0x04AE,CheadddsniperZ,False,MPFEATURE_CHR_VILLACHRS,base
0x10,HEAD_A51FACEPLATE,0x0039,FILE_CA51FACEPLATE,0x0511,Ca51faceplateZ,False,MPFEATURE_CHR_INFILTRATION,base
0x11,HEAD_SECRETARY,0x000D,FILE_CHEADSECRETARY,0x01A5,CheadsecretaryZ,False,0,base
0x12,HEAD_FEM_GUARD,0x0010,FILE_CHEADFEM_GUARD,0x01A8,Cheadfem_guardZ,False,MPFEATURE_CHR_FEMGUARD,base
0x13,HEAD_FEM_GUARD2,0x0019,FILE_CHEADFEM_GUARD2,0x01C5,Cheadfem_guard2Z,False,MPFEATURE_CHR_FEMGUARD,base
0x14,HEAD_MAIAN_S,0x0029,FILE_CHEADMAIAN_S,0x033B,Cheadmaian_sZ,False,MPFEATURE_CHR_ELVIS,base
0x15,HEAD_JON,0x0011,FILE_CHEADJON,0x01A9,CheadjonZ,False,0,base
0x16,HEAD_BEAU1,0x0018,FILE_CHEADBEAU,0x01C2,CheadbeauZ,False,0,base
0x17,HEAD_ROSS,0x0006,FILE_CHEADROSS,0x019E,CheadrossZ,False,0,base
0x18,HEAD_MARK2,0x0012,FILE_CHEADMARK2,0x01B2,Cheadmark2Z,False,0,base
0x19,HEAD_CHRIST,0x0013,FILE_CHEADCHRIST,0x01B3,CheadchristZ,False,0,base
0x1A,HEAD_RUSS,0x0014,FILE_CHEADRUSS,0x01BC,CheadrussZ,False,0,base
0x1B,HEAD_DARLING,0x0016,FILE_CHEADDARLING,0x01BE,CheaddarlingZ,False,0,base
0x1C,HEAD_BRIAN,0x001A,FILE_CHEADBRIAN,0x01CD,CheadbrianZ,False,0,base
0x1D,HEAD_JAMIE,0x001B,FILE_CHEADJAMIE,0x01CE,CheadjamieZ,False,0,base
0x1E,HEAD_DUNCAN2,0x001C,FILE_CHEADDUNCAN2,0x01CF,Cheadduncan2Z,False,0,base
0x1F,HEAD_KEITH,0x0037,FILE_CHEADKEITH,0x050F,CheadkeithZ,False,0,base
0x20,HEAD_STEVEM,0x003B,FILE_CHEADSTEVEM,0x0554,CheadstevemZ,False,0,base
0x21,HEAD_GRANT,0x0042,FILE_CHEADGRANT,0x07BE,CheadgrantZ,False,0,base
0x22,HEAD_PENNY,0x0043,FILE_CHEADPENNY,0x07BF,CheadpennyZ,False,0,base
0x23,HEAD_DAVEC,0x0048,FILE_CHEADDAVEC,0x07C4,CheaddavecZ,False,0,base
0x24,HEAD_JONES,0x0054,FILE_CHEADJONES,0x07D8,CheadjonesZ,False,0,base
0x25,HEAD_GRAHAM,0x000B,FILE_CHEADGRAHAM,0x01A3,CheadgrahamZ,False,0,base
0x26,HEAD_ROBERT,0x0017,FILE_CHEADROBERT,0x01C0,CheadrobertZ,False,0,base
0x27,HEAD_NEIL2,0x001E,FILE_CHEADNEIL2,0x0232,Cheadneil2Z,False,0,base
0x28,HEAD_SHAUN,0x002A,FILE_CHEADSHAUN,0x0345,CheadshaunZ,False,0,base
0x29,HEAD_ROBIN,0x0044,FILE_CHEADROBIN,0x07C0,CheadrobinZ,False,0,base
0x2A,HEAD_COOK,0x0049,FILE_CHEADCOOK,0x07CD,CheadcookZ,False,0,base
0x2B,HEAD_PRYCE,0x004A,FILE_CHEADPRYCE,0x07CE,CheadpryceZ,False,0,base
0x2C,HEAD_SILKE,0x004B,FILE_CHEADSILKE,0x07CF,CheadsilkeZ,False,0,base
0x2D,HEAD_SMITH,0x004C,FILE_CHEADSMITH,0x07D0,CheadsmithZ,False,0,base
0x2E,HEAD_GARETH,0x004D,FILE_CHEADGARETH,0x07D1,CheadgarethZ,False,0,base
0x2F,HEAD_MURCHIE,0x004E,FILE_CHEADMURCHIE,0x07D2,CheadmurchieZ,False,0,base
0x30,HEAD_WONG,0x004F,FILE_CHEADWONG,0x07D3,CheadwongZ,False,0,base
0x31,HEAD_CARTER,0x0050,FILE_CHEADCARTER,0x07D4,CheadcarterZ,False,0,base
0x32,HEAD_TINTIN,0x0051,FILE_CHEADTINTIN,0x07D5,CheadtintinZ,False,0,base
0x33,HEAD_MUNTON,0x0052,FILE_CHEADMUNTON,0x07D6,CheadmuntonZ,False,0,base
0x34,HEAD_STAMPER,0x0053,FILE_CHEADSTAMPER,0x07D7,CheadstamperZ,False,0,base
0x35,HEAD_PHELPS,0x0055,FILE_CHEADPHELPS,0x07D9,CheadphelpsZ,False,0,base
0x36,HEAD_ALEX,0x0045,FILE_CHEADALEX,0x07C1,CheadalexZ,False,0,base
