mp_slot,character_name,mpbody_const,body_id,head_id,asset_role,asset_const,file_const,file_id,rom_or_external_filename,loose_override_exists,texture_ids_from_reference,reference_display_name,notes
0x00,Joanna Combat,MPBODY_DARK_COMBAT,0x0056,0x0004,BODY,BODY_DARK_COMBAT,FILE_CDARK_COMBAT,0x0042,Cdark_combatZ,False,,Dark Combat,
0x00,Joanna Combat,MPBODY_DARK_COMBAT,0x0056,0x0004,HEAD,HEAD_DARK_COMBAT,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,,Dark Combat,
0x00,Joanna Combat,MPBODY_DARK_COMBAT,0x0056,0x0004,HAND,,FILE_GCOMBATHANDSLOD,0x04E5,GcombathandslodZ,False,,Dark Combat,
0x01,Joanna Trench Coat,MPBODY_DARK_TRENCH,0x0062,0x0004,BODY,BODY_DARK_TRENCH,FILE_CDARK_TRENCH,0x0044,Cdark_trenchZ,False,,Dark Combat,
0x01,Joanna Trench Coat,MPBODY_DARK_TRENCH,0x0062,0x0004,HEAD,HEAD_DARK_COMBAT,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,,Dark Combat,
0x01,Joanna Trench Coat,MPBODY_DARK_TRENCH,0x0062,0x0004,HAND,,FILE_GHAND_JOTRENCH,0x052C,Ghand_jotrenchZ,False,,Dark Combat,
0x02,Joanna Party Frock,MPBODY_DARK_FROCK,0x0061,0x000C,BODY,BODY_DARK_FROCK,FILE_CDARK_FROCK,0x0043,Cdark_frockZ,False,,Dark Frock,
0x02,Joanna Party Frock,MPBODY_DARK_FROCK,0x0061,0x000C,HEAD,HEAD_DARK_FROCK,FILE_CHEADDARK_FROCK,0x01A4,Cheaddark_frockZ,False,,Dark Frock,
0x02,Joanna Party Frock,MPBODY_DARK_FROCK,0x0061,0x000C,HAND,,FILE_GHAND_JOFROCK,0x052B,Ghand_jofrockZ,False,,Dark Frock,
0x03,Joanna Frock (Ripped),MPBODY_DARK_RIPPED,0x006D,0x000C,BODY,BODY_DARK_RIPPED,FILE_CDARK_RIPPED,0x01B1,Cdark_rippedZ,False,,Dark Frock,
0x03,Joanna Frock (Ripped),MPBODY_DARK_RIPPED,0x006D,0x000C,HEAD,HEAD_DARK_FROCK,FILE_CHEADDARK_FROCK,0x01A4,Cheaddark_frockZ,False,,Dark Frock,
0x03,Joanna Frock (Ripped),MPBODY_DARK_RIPPED,0x006D,0x000C,HAND,,FILE_GHAND_JOFROCK,0x052B,Ghand_jofrockZ,False,,Dark Frock,
0x04,Joanna Stewardess,MPBODY_DARK_AF1,0x0086,0x0004,BODY,BODY_DARK_AF1,FILE_CDARK_AF1,0x033C,Cdark_af1Z,False,,Dark Combat,
0x04,Joanna Stewardess,MPBODY_DARK_AF1,0x0086,0x0004,HEAD,HEAD_DARK_COMBAT,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,,Dark Combat,
0x04,Joanna Stewardess,MPBODY_DARK_AF1,0x0086,0x0004,HAND,,FILE_GHAND_JOPILOT,0x0530,Ghand_jopilotZ,False,,Dark Combat,
0x05,Joanna Leather,MPBODY_DARK_LEATHER,0x0095,0x0004,BODY,BODY_DARK_LEATHER,FILE_CDARK_LEATHER,0x0559,Cdark_leatherZ,False,,Dark Combat,
0x05,Joanna Leather,MPBODY_DARK_LEATHER,0x0095,0x0004,HEAD,HEAD_DARK_COMBAT,FILE_CHEADDARK_COMBAT,0x019C,Cheaddark_combatZ,False,,Dark Combat,
0x05,Joanna Leather,MPBODY_DARK_LEATHER,0x0095,0x0004,HAND,,FILE_GHAND_JOFROCK,0x052B,Ghand_jofrockZ,False,,Dark Combat,
0x06,Joanna Negotiator,MPBODY_DARK_NEGOTIATOR,0x0096,0x0004,BODY,BODY_DARK_NEGOTIATOR,FILE_CDARK_NEGOTIATOR,0x0796,Cdark_negotiatorZ,False,,Dark Combat,
